Date,Open,High,Low,Close,Adj Close,Volume
2014-08-13,6.160000,6.177000,6.090000,6.122000,5.311036,4318849
2014-08-14,6.106000,6.178000,6.082000,6.144000,5.330122,1724550
2014-08-15,6.170000,6.177000,6.074000,6.110000,5.300626,5196814
2014-08-18,6.177000,6.220000,6.161000,6.218000,5.394319,3404394
2014-08-19,6.250000,6.290000,6.246000,6.255000,5.426417,3259639
2014-08-20,6.259000,6.280000,6.225000,6.279000,5.447238,2058463
2014-08-21,6.300000,6.368000,6.241000,6.368000,5.524449,2420623
2014-08-22,6.362000,6.416000,6.312000,6.368000,5.524449,3868661
2014-08-25,6.426000,6.438000,6.389000,6.417000,5.566957,2087485
2014-08-26,6.420000,6.521000,6.411000,6.521000,5.657182,2492695
2014-08-27,6.500000,6.550000,6.465000,6.486000,5.626818,3913491
2014-08-28,6.476000,6.482000,6.390000,6.426000,5.574766,1868824
2014-08-29,6.420000,6.442000,6.335000,6.408000,5.559150,3127402
2014-09-01,6.415000,6.448000,6.352000,6.368000,5.524449,2719435
2014-09-02,6.395000,6.445000,6.351000,6.431000,5.579104,2692213
2014-09-03,6.462000,6.530000,6.440000,6.513000,5.650241,4455194
2014-09-04,6.490000,6.630000,6.442000,6.611000,5.735260,5587776
2014-09-05,6.600000,6.629000,6.550000,6.570000,5.699691,4478930
2014-09-08,6.578000,6.600000,6.485000,6.545000,5.678002,2485535
2014-09-09,6.526000,6.549000,6.480000,6.487000,5.627685,2341351
2014-09-10,6.487000,6.487000,6.400000,6.452000,5.597322,2714921
2014-09-11,6.468000,6.499000,6.271000,6.315000,5.478470,3796772
2014-09-12,6.315000,6.351000,6.240000,6.297000,5.462854,5019578
